,name,contact
0,Aaron Patzer,http://www.linkedin.com/in/apatzer
1,Adam Dean,http://www.linkedin.com/in/adamdean
2,Adeo Ressi,http://www.linkedin.com/pub/adeo-ressi/0/15/a37
3,Alain Raynaud,http://www.linkedin.com/in/alainraynaud
4,Alejandro Goyen,http://www.linkedin.com/profile/view?id=318694
5,Alejandro Rivas Micoud,http://www.linkedin.com/pub/alejandro-rivas-micoud/3/b0/9b8
6,Alex Sok,http://www.linkedin.com/in/alexsok
7,Alex Rampell,http://www.linkedin.com/pub/alastair-alex-rampell/0/183/530
8,Alexander Garcia Tobar,http://www.linkedin.com/in/alexgarciatobar
9,Alexandra Johnson,http://www.linkedin.com/in/johnsonsasha/
10,Aline Hemmo,http://www.linkedin.com/in/ajuliab
11,Ana Baltodano,http://www.linkedin.com/in/heylee
12,Andrew Lee,http://www.linkedin.com/in/filev
13,Andrew Filev,http://www.linkedin.com/in/agoldner/
14,Andrew Goldner,http://www.linkedin.com/in/asta-sendonaris 
15,Asta Sendonaris,http://www.linkedin.com/pub/avery-lyford/0/a5/788
16,Avery Lyford,http://www.linkedin.com/in/balajisiva/
17,Balaji Sivasubramanian,http://www.linkedin.com/pub/j-barry-thompson/0/79/432
18,Barry Thompson,http://www.linkedin.com/in/basilenan/
19,Basil Enan,http://www.linkedin.com/in/benjaminjlarson
20,Ben Larson,http://www.linkedin.com/in/obenyoung
21,Benjamin Young,http://www.linkedin.com/in/bhavinnicholasshah
22,Bhavin Shah,http://www.linkedin.com/in/billh
23,Bill Hunt,http://www.linkedin.com/in/brosin
24,Bob Rosin,http://www.linkedin.com/in/bow-rodgers-561425
25,Bow Rodgers,http://www.linkedin.com/pub/bram-cohen/0/166/a13
26,Bram Cohen,http://www.linkedin.com/in/brandenspikes
27,Branden Spikes,http://www.linkedin.com/in/brandonsteelman
28,Brandon Steelman,http://www.linkedin.com/in/oyinbo
29,Brett Murray,http://www.linkedin.com/pub/brian-liu/0/93/67
30,Brian Liu,http://www.linkedin.com/in/bryanthatcher
31,Bryan Thatcher,http://www.linkedin.com/pub/0/084/9b5
32,Bubba Murarka,http://www.linkedin.com/in/carolbroadbent/
33,Carol Broadbent,http://www.linkedin.com/in/carterlaren
34,Carter Laren,http://www.linkedin.com/in/chest
35,Chester Ng,http://www.linkedin.com/in/cwhogg
36,Chris Hogg,http://www.linkedin.com/in/christinatrampota/
37,Christina Trampota,http://www.linkedin.com/in/cbyrne3?authType=name&authToken=FHP9&trk=api*a109924*s118458*
38,Ciaran Byrne,http://www.linkedin.com/in/conniekwan
39,Connie Kwan,http://www.linkedin.com/pub/craig-kanarick/0/787/357
40,Craig Kanarick,http://www.linkedin.com/in/danrubins
41,Dan Rubins,http://www.linkedin.com/profile/view?id=32405
42,Dan Arkind,http://www.linkedin.com/in/danielowenmcguire
43,Dan Mc Guire,http://co.linkedin.com/pub/dan-gertsacov/0/205/855
44,Dan Owen,http://www.linkedin.com/in/danaloberg/
45,Dan Gertsacov,http://www.linkedin.com/pub/daniel-saccani/0/60/693
46,Dana Loberg,http://www.linkedin.com/in/davemcclure
47,Daniel Saccani,http://www.linkedin.com/in/daviddioli
48,Dave Mcclure,http://www.linkedin.com/in/davidskidder
49,David Dioli,http://www.linkedin.com/in/davidwu90
50,David Kidder,http://www.linkedin.com/in/dweekly
51,David Wu,http://www.linkedin.com/in/davidu
52,David Weekly,http://www.linkedin.com/pub/0/100/819
53,David Ulevitch,http://www.linkedin.com/
54,David Higley,http://www.linkedin.com/in/edward-hartman-1a6b2/
55,David Anderson,http://www.linkedin.com/in/emnaghariani
56,Eddie Hartman,http://www.linkedin.com/in/erenbali
57,Emna Ghariani,http://www.linkedin.com/in/errette
58,Eren Bali,http://www.linkedin.com/in/eries
59,Erette Dunn,http://www.linkedin.com/in/eugenelee
60,Eric Ries,http://www.linkedin.com/in/geyrhalter
61,Eugene Lee,http://www.linkedin.com/in/farylury
62,Fabian Geyrhalter,http://www.linkedin.com/in/fredjoyal
63,Faryl Ury,http://www.linkedin.com/pub/g-d-ram-ramkumar/0/425/554
64,Fred Joyal,http://www.linkedin.com/in/gzicherm
65,G.D. (Ram) Ramkumar,http://www.linkedin.com/in/gaganbiyani
66,Gabe Zichermann,http://www.linkedin.com/in/garygaessler
67,Gagan Biyani,http://www.linkedin.com/in/giselebisson
68,Gary Gaessler,http://www.linkedin.com/in/glebbudman/
69,Gina Bianchini,http://www.linkedin.com/in/gopirangan
70,Gisele Bisson,http://www.linkedin.com/in/gopimattel
71,Gleb Budman,http://www.linkedin.com/in/gisenberg
72,Gopi Rangan,http://www.linkedin.com/pub/hans-kim/2/844/8a4
73,Gopi Mattel,http://www.linkedin.com/in/harmonyoswald/
74,Greg Isenberg,http://www.linkedin.com/
75,Hans Kim,http://www.linkedin.com/in/hpieris?authType=NAME_SEARCH&authToken=vLWN&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A14075947%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1486608539407%2Ctas%3Ahimak
76,Harmony Oswald,http://www.linkedin.com/in/himanshukhurana/
77,Heather Harde,http://www.linkedin.com/in/hollyster/
78,Himakara Pieris,http://www.linkedin.com/in/ianmccarthy
79,Himanshu Khurana,http://www.linkedin.com/in/irischarabiberggren
80,Holly Liu,http://www.linkedin.com/in/james-jim-jensen-4bb5b11/
81,Ian Mc Carthy,http://www.linkedin.com/in/thehonger
82,Iris Charabi Berggren,http://www.linkedin.com/in/goralnick
83,James Jensen,http://www.linkedin.com/in/jaredehansen
84,James Hong,http://www.linkedin.com/in/jasoncalacanis
85,Jared Goralnick,http://www.linkedin.com/in/jasonnazar
86,Jared Hansen,http://www.linkedin.com/in/jasonfreedman
87,Jason Calacanis,http://www.linkedin.com/in/jcjohnson
88,Jason Nazar,http://www.linkedin.com/in/jayjamison
89,Jason Freedman,http://www.linkedin.com/in/bonforte
90,Jason Johnson,http://www.linkedin.com/pub/jeff-lee/0/633/354/
91,Jay Jamison,http://www.linkedin.com/pub/0/11/bbb
92,Jeff Bonforte,http://www.linkedin.com/in/jeffreydachis
93,Jeff Lee,http://www.linkedin.com/pub/0/06a/44b
94,Jeff Stewart,http://www.linkedin.com/in/jglassenberg/
95,Jeffrey Dachis,http://www.linkedin.com/in/jeremyg
96,Jen Shelby,http://www.linkedin.com/profile/view?id=ADEAAAAQZBcBSfalm6M_sSCjjc9JDxzeSvCMeNQ&authType=OPENLINK&authToken=Z3hg&locale=en_US&srchid=444440161445979998269&srchindex=1&srchtotal=9&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A444440161445979998269%2CVSR
97,Jeremy Glassenberg,http://www.linkedin.com/in/jillstelfox1/
98,Jeremy Geiger,http://www.linkedin.com/in/jimkaskade
99,Jessica Alter,http://www.linkedin.com/in/jimgreer
100,Jill Stelfox,http://www.linkedin.com/in/joannariley
101,Jim Kaskade,http://www.linkedin.com/in/joseph-garza-63a83b3a
102,Jim Greer,http://www.linkedin.com/in/bettslacroix
103,Joanna Riley,http://www.linkedin.com/in/bezdek
104,Joe Garza,http://www.linkedin.com/pub/0/22a/3b5
105,Joe Betts Lacroix,http://linkedin.com/in/inthecloud247
106,Joe Bezdek,http://www.linkedin.com/in/jgmcintyre
107,Joe Zawadzki,http://sg.linkedin.com/pub/john-young/3/82B/114
108,John Lee,http://www.linkedin.com/in/jonathangreechan/
109,John Albietz,http://fr.linkedin.com/in/jbenassaya
110,John Mc Intyre,http://www.linkedin.com/in/jonathanabrams
111,John Young,http://www.linkedin.com/in/jprabhakar
112,Jonathan Greechan,http://www.linkedin.com/in/justinwilcox
113,Jonathan Benassaya,http://linkedin.com/in/justinmares
114,Jonathan Abrams,http://www.linkedin.com/in/justinrinfretmoore
115,Joseph Prabhakar,http://www.linkedin.com/in/justindmccarthy
116,Justin Wilcox,http://www.linkedin.com/in/justinereichman
117,Justin Mares,http://www.linkedin.com/pub/karl-shaikh/2/487/a11
118,Justin Moore,http://www.linkedin.com/in/kamalhassan
119,Justin Mc Carthy,http://www.linkedin.com/in/karenpurtich
120,Justine Reichman,http://www.linkedin.com/pub/kate-rutter/2/495/39b
121,K. Shaikh,http://www.linkedin.com/in/kenross
122,Kamal Hassan,http://www.linkedin.com/in/kevinsiskar
123,Karen Purtich,http://www.linkedin.com/in/kikimwiti/
124,Kate Rutter,http://www.linkedin.com/in/kirillonlinkedin
125,Ken Ross,http://www.linkedin.com/in/krfrancisco?authType=NAME_SEARCH&authToken=YrvY&locale=en_US&srchid=444440161453057235078&srchindex=1&srchtotal=1&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A444440161453057235078%2CVSRPtargetId%3A22477401%2CVSRPcmpt%3Aprima
126,Kevin Siskar,http://www.linkedin.com/in/larsen-jensen-38232979/
127,Kiki Mwiti,http://www.linkedin.com/in/leilabanijamali
128,Kirill Makharinsky,http://www.linkedin.com/in/lesahammond/
129,Kristopher Francisco,http://www.linkedin.com/in/levmazin?authType=name&authToken=obX4&trk=api*a109924*s118458*
130,Larsen Jensen,http://www.linkedin.com/in/liza-lichtinger-2b834714/
131,Leila Banijamali,http://www.linkedin.com/in/lucas-rocha-72a14069/
132,Lesa Hammond,http://es.linkedin.com/pub/lucas-gozálvez/b/947/842
133,Lev Mazin,http://www.linkedin.com/in/lucykeoni
134,Liza Lichtinger,http://www.linkedin.com/in/madelineduva
135,Lucas Rocha,http://www.linkedin.com/in/marcospolanco
136,Lucas Gozálvez,http://www.linkedin.com/in/mariamokhnatkina
137,Lucy Keoni,http://www.linkedin.com/
138,Madeline Duva,http://www.linkedin.com/in/markpmanning
139,Marcos Polanco,http://www.linkedin.com/pub/0/0/88a
140,Maria Mokhnatkina,http://www.linkedin.com/in/markmontalban/
141,Mark Frohnmayer,http://www.linkedin.com/in/marloncnichols
142,Mark Manning,http://www.linkedin.com/search/results/index/?keywords=matt%20shapiro&origin=GLOBAL_SEARCH_HEADER
143,Mark Pincus,http://www.linkedin.com/in/mattbelitsky
144,Mark Montalban,http://www.linkedin.com/in/mmandell
145,Marlon Nichols,http://www.linkedin.com/pub/max-shevyakov/1/b31/819
146,Matt Shapiro,http://www.linkedin.com/in/micahbaldwin
